_id,coop,station_name,country_name,utc_offset,datetime_utc,lat,lon,precip_amt
5b5df609976f770001878115,010008,ABBEVILLE,UNITED STATES,-0600,2012-04-18 16:00:00,31.5702,-85.2482,0.2
5b5df609976f7700018781d5,010063,ADDISON,UNITED STATES,-0600,2012-04-18 16:00:00,34.2553,-87.1814,0.0
5b5df609976f770001878295,010116,ALABASTER SHELBY COUNTY AP,UNITED STATES,-0600,2012-04-18 16:00:00,33.17833,-86.78167,0.0
5b5df609976f770001878325,010140,ALBERTA,UNITED STATES,-0600,2012-04-18 16:00:00,32.2322,-87.4104,0.0
5b5df609976f77000187839d,010252,ANDALUSIA 3 W,UNITED STATES,-0600,2012-04-18 16:00:00,31.3071,-86.5226,0.0
5b5df609976f770001878475,010272,ANNISTON METROPOLITAN AP,UNITED STATES,-0600,2012-04-18 16:00:00,33.5872,-85.8556,0.0
5b5df609976f770001878565,010369,ASHLAND 3 ENE,UNITED STATES,-0600,2012-04-18 16:00:00,33.2941,-85.7788,0.0
5b5df609976f7700018785f5,010390,ATHENS,UNITED STATES,-0600,2012-04-18 16:00:00,34.7752,-86.9508,0.0
5b5df609976f77000187869d,010402,ATMORE,UNITED STATES,-0600,2012-04-18 16:00:00,31.182,-87.439,0.0
5b5df609976f770001878745,010425,AUBURN NO.2,UNITED STATES,-0600,2012-04-18 16:00:00,32.5992,-85.4653,0.0
5b5df609976f77000187884d,010831,BIRMINGHAM AP,UNITED STATES,-0600,2012-04-18 16:00:00,33.56556,-86.745,0.0
5b5df609976f770001878955,011099,BRIDGEPORT 5 NW,UNITED STATES,-0600,2012-04-18 16:00:00,34.9786,-85.8008,0.0
5b5df609976f7700018789fd,012124,DADEVILLE 2,UNITED STATES,-0600,2012-04-18 16:00:00,32.8622,-85.7358,0.0
5b5df609976f770001878aed,012377,DOTHAN 4 NW,UNITED STATES,-0600,2012-04-18 16:00:00,31.28333,-85.4,0.2
5b5df609976f770001878ce5,013519,GREENVILLE,UNITED STATES,-0600,2012-04-18 16:00:00,31.7901,-86.6087,0.0
5b5df609976f770001878dd5,013645,HAMILTON 3 S,UNITED STATES,-0600,2012-04-18 16:00:00,34.0966,-87.9913,0.0
